Cor,Avaliação,Temperatura (°C),Idade
Preto,Médio,22.0,76
Amarelo,Bom,9.6,73
Verde,Ruim,21.9,63
Azul,Bom,13.6,82
Vermelho,Médio,18.7,55
Preto,Ruim,-5.1,96
Amarelo,Excelente,6.0,13
Preto,Excelente,28.6,95
Amarelo,Excelente,26.3,65
Branco,Excelente,22.1,23
Vermelho,Bom,22.0,95
Azul,Excelente,14.3,89
Branco,Bom,-3.8,59
Preto,Bom,22.4,52
Verde,Médio,35.9,89
Verde,Excelente,38.5,55
Azul,Bom,-5.1,89
Branco,Ruim,7.4,11
Azul,Bom,22.1,88
Branco,Ruim,9.6,95
Azul,Médio,-2.9,56
Verde,Ruim,-1.0,63
Verde,Excelente,8.3,93
Verde,Ruim,-3.7,89
Amarelo,Médio,17.1,65
Amarelo,Ruim,-9.9,16
Preto,Excelente,28.6,91
Vermelho,Excelente,32.9,63
Branco,Médio,10.1,39
Amarelo,Médio,22.4,22
Verde,Bom,5.8,89
Verde,Bom,22.2,46
Amarelo,Ruim,21.9,16
Verde,Médio,35.9,55
Verde,Excelente,-1.0,73
Azul,Excelente,6.0,73
Verde,Médio,19.6,52
Amarelo,Bom,18.4,96
Vermelho,Ruim,23.7,39
Branco,Ruim,17.1,56
Verde,Médio,-1.0,72
Amarelo,Ruim,6.7,48
Branco,Ruim,12.5,94
Preto,Bom,33.5,81
Vermelho,Médio,-5.1,17
Verde,Ruim,-5.5,89
Vermelho,Excelente,-1.0,82
Branco,Ruim,18.4,25
Verde,Excelente,22.2,88
Azul,Bom,19.1,72
Verde,Bom,-1.9,1
Amarelo,Médio,18.4,39
Preto,Excelente,25.4,6
Amarelo,Ruim,25.7,95
Amarelo,Médio,-4.0,7
Vermelho,Excelente,14.1,5
Preto,Ruim,22.2,11
Verde,Ruim,26.3,17
Amarelo,Ruim,-5.5,56
Vermelho,Ruim,28.6,73
Branco,Médio,1.2,56
Amarelo,Bom,4.9,76
Branco,Médio,6.7,7
Verde,Médio,23.7,32
Preto,Bom,14.1,80
Vermelho,Médio,33.5,11
Azul,Ruim,36.1,73
Vermelho,Excelente,33.5,72
Preto,Ruim,35.9,73
Amarelo,Médio,36.5,11
Verde,Bom,36.1,61
Vermelho,Excelente,-1.9,89
Azul,Excelente,33.5,32
Branco,Bom,36.1,81
Vermelho,Bom,17.0,47
Verde,Médio,28.8,94
Amarelo,Médio,38.5,89
Preto,Excelente,22.1,98
Azul,Bom,18.0,54
Amarelo,Médio,9.6,87
Verde,Médio,5.8,60
Preto,Excelente,-1.9,46
Amarelo,Ruim,6.0,5
Vermelho,Ruim,5.8,71
Branco,Ruim,19.8,37
Preto,Médio,17.1,7
Amarelo,Ruim,5.7,56
Azul,Médio,1.2,7
Branco,Médio,9.6,63
Azul,Excelente,19.1,71
Branco,Ruim,4.7,74
Branco,Médio,22.2,80
Azul,Excelente,19.8,18
Amarelo,Médio,10.1,32
Branco,Médio,-1.9,1
Amarelo,Médio,9.7,48
Branco,Ruim,-0.8,89
Vermelho,Bom,11.7,37
Preto,Ruim,4.9,14
Azul,Excelente,9.7,32
